Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
3.03.2023,13:00,1BA2900,19,ÇANKAYA ÜNİVERSİTESİ,101 - 72,RİZE BELEDİYESİ,,ANKARA,Ankara Spor Salonu,"Youtube / TBF TV,SPORTSTV",HÜSEYİN ÇELİK,ANIL VEZİROĞLU,UĞUR YÜKSEL,BURAK KARAMUSTAFAOĞLU,SELDA UZUN,FATİH ŞEN,YASEMİN YILDIRIM,VOLKAN DARCAN,Ankara Spor Salonu
3.03.2023,13:00,1BA2905,19,ANTALYA TOROSLAR BASKETBOL,49 - 76,EMLAK KONUT,,ANTALYA,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu,Youtube / TBF TV,TOLGA EDİS,MÜNEVVER ÖZEMRE,BURAK AKTAŞ,METE BULUT,İLKAY ERDOĞAN,KORAY ASAL,NEŞE KARTAL,BURHAN ÇİÇEK,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu
3.03.2023,15:00,1BA2904,19,BURSA ULUDAĞ BASKETBOL,51 - 113,BOTAŞ,,BURSA,Naim Süleymanoğlu Spor Kompleksi,Youtube / TBF TV,ZAFER YILMAZ,ABDULLAH İLİK,FURKAN KESERATAR,ÇETİN ŞİMŞEK,ÖZLEM ÖZKAN,NEBİYE SALLANTI,TUĞBA ÖZMEN,TEOMAN ÖYLEK,Naim Süleymanoğlu Spor Kompleksi
3.03.2023,16:00,1BA2902,19,NESİBE AYDIN,72 - 91,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,,ANKARA,TOBB ETÜ Spor Salonu ,"Youtube / TBF TV,SPORTSTV",MEHMET KARABİLECEN,NAZLI ÇİSİL GÜNGÖR,SEDA ESEN,VEYSEL PEKDOĞAN,MİNE MİHRİCAN KANBUR,FATİH DEMİRCİ,AHMET BUĞRAHAN TÜRKER,ALİ MURAT SUNGUR,TOBB ETÜ Spor Salonu
3.03.2023,18:00,1BA2901,19,GALATASARAY ÇAĞDAŞ FAKTORING,92 - 84,OGM ORMANSPOR,,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,ÖZLEM YALMAN,BURAK DURMUŞ,ÖMER SARI,MELİH ERGENE,CEYDA KAPKAÇ,GÖKHAN BAŞARAN,MURAT ÖZKAN,PINAR ŞAHİN,Ahmet Cömert Spor Salonu
4.03.2023,16:00,1BA2903,19,MELİKGAZİ KAYSERİ BASKETBOL,56 - 110,FENERBAHÇE ALAGÖZ HOLDİNG,,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,Youtube / TBF TV,UMUT ÖZGÜN ERGÜN,MEHMET BURAK ANLATICI,ALMİNA KOCABAŞ,BAHA KAÇIN,BÜLENT TOSUN,SEVGİ ÖZÇELİK GÜNDÜZ,SEVİM VURAL,FATİH SAVAŞKAN,Kadir Has Kongre Merkezi Spor Salonu
6.03.2023,00:00,1BA2912,20,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,0 - 20,ANTALYA TOROSLAR BASKETBOL,,HATAY,Hatay Merkez Spor Salonu,,,,,,,,,,Hatay Merkez Spor Salonu
6.03.2023,14:00,1BA2911,20,FENERBAHÇE ALAGÖZ HOLDİNG,82 - 81,NESİBE AYDIN,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,"Youtube / TBF TV,SPORTSTV",KAAN BÜYÜKÇİL,DORUKHAN KALYONCU,METEHAN ALAÇAM,AHMET MÜNİR GÖKMEN,MERVE SERDAR,ZEHRA AKAN,ALTAN CANDAN,EBRU ULUDOĞAN,Fenerbahçe Metro Enerji Spor Salonu
6.03.2023,14:30,1BA2908,20,RİZE BELEDİYESİ,61 - 75,BEŞİKTAŞ,,RİZE,Rize Yenişehir Spor Salonu,Youtube / TBF TV,FATİH GÜLER,YARKIN KESKİN,UMUT MEMİŞ,KAYA EREZ,SEHER AYDEMİR,KENAN MELEK,ERKAN CAN BİROL,BİLAL AKYILDIZ,Rize Yenişehir Spor Salonu
6.03.2023,15:00,1BA2909,20,EMLAK KONUT,73 - 82,BURSA ULUDAĞ BASKETBOL,,İSTANBUL,Başakşehir Spor Kompleksi,Youtube / TBF TV,ÖZGE ŞENTÜRK BAYRAKTAR,SAMET BİNER,SABRİ GÜNDÜZ,CEM ATMACA,KÜBRA TOPAL,ERMAN YÜCEL,REMZİ KILIÇ,NEŞE KIRAN,Başakşehir Spor Kompleksi
