Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
3.10.2021,20:15,1EA3581,02,FENERBAHÇE BEKO,71 - 63,ALİAĞA PETKİM SPOR,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,OSMAN SİNAN İŞGÜDER,HÜSEYİN ÇELİK,ORHAN ÇAĞRI HEKİMOĞLU,RAHŞAN ŞEBNEM TÜMER,SEÇİL SILA KORALP,EBRU ULUDOĞAN,TOLGAY ÖZCAN,GİZEM OFLUOĞLU KARAARSLAN,Ülker Spor ve Etkinlik Salonu
9.10.2021,13:00,1EA3589,03,ALİAĞA PETKİM SPOR,81 - 95,GALATASARAY NEF,,İZMİR,Enka Spor Salonu,TİVİBU Spor 2,MEHMET SERDAR ÜNAL,ALİ ŞAKACI,MURAT CİNER,SERKAN İNCE,GİZEM ÖZAYDIN,MESUT KARABULUT,KEMAL AYPARS,ONUR BURAK,Enka Spor Salonu
9.10.2021,15:30,1EA3590,03,DARÜŞŞAFAKA,94 - 78,TOFAŞ,,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,"TRTSPOR,TİVİBU Spor 2",ERŞAN KARTAL,KAAN BÜYÜKÇİL,ÖZGE ŞENTÜRK BAYRAKTAR,ENİS GÜREL,LAL DENİZ ÇELİKER,ALPER LAÇİNKAYA,AYGÜN SEVGİL,ŞAZİYE SİMSAR YAKIN,Darüşşafaka Ayhan Şahenk Spor Salonu
9.10.2021,18:00,1EA3586,03,FRUTTİ EXTRA BURSASPOR,73 - 76,BEŞİKTAŞ ICRYPEX,,BURSA,Tofaş Spor Salonu,TİVİBU Spor 2,OSMAN SİNAN İŞGÜDER,KEREM BAKİ,SİNEM TETİK AKBAYRAK,İBRAHİM EMRE AYDEMİR,NİDA ECE TÜZÜK,SEVDA USTA,TEOMAN ÖYLEK,CEREN YAVUZ,Tofaş Spor Salonu
9.10.2021,20:15,1EA3588,03,BAHÇEŞEHİR KOLEJİ,78 - 79,FENERBAHÇE BEKO,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,"TRTSPOR,TİVİBU Spor 2",AYTUĞ EKTİ,ALPER ÖZGÖK,YİĞİT GÖNÜLTAŞ,MEHMET ZAFER MİLLİ,BEGÜM SAVAŞ,EBRU ULUDOĞAN,MUSTAFA GÖKMEN DEMİRAY,SEÇİL SILA KORALP,Ülker Spor ve Etkinlik Salonu
10.10.2021,13:00,1EA3585,03,GAZİANTEP BASKETBOL,82 - 49,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,,GAZİANTEP,Karataş Şahinbey Spor Salonu,TİVİBU Spor 2,MEHMET KARABİLECEN,CAN MAVİSU,BURAK YILMAZ,VEYSİ ORUK,RECEP ÖZTÜRK,ALİ DALYANOĞLU,EKMEL CENGİZ,MUSTAFA BODUR,Karataş Şahinbey Spor Salonu
10.10.2021,15:30,1EA3592,03,SEMT77 YALOVASPOR,63 - 51,HDI SİGORTA AFYON BELEDİYESİ,,YALOVA,90. Yıl Spor Salonu,TİVİBU Spor 2,YENER YILMAZ,FATİH ARSLANOĞLU,TOLGA EDİS,EMİN FAZIL KESERATAR,EMİNE AK,SİNEM GÜL,GÜLEN SÖNMEZ,TAYFUN CAN DEMİR,90. Yıl Spor Salonu
10.10.2021,18:00,1EA3587,03,ANADOLU EFES,78 - 77,PINAR KARŞIYAKA,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor 2,ZAFER YILMAZ,MEHMET ŞAHİN,BATUHAN SÖYLEMEZOĞLU,HURŞİT CEM AKAN,GÜLİZ KONCA ADİLLER,ZAFER RİFAİ,KEREM SIRMAGİL,EMRAH RİFAİ,Sinan Erdem Spor Salonu
10.10.2021,20:15,1EA3591,03,BÜYÜKÇEKMECE BASKETBOL,81 - 71,TÜRK TELEKOM SPOR,,İSTANBUL,Gazanfer Bilge Spor Salonu,TİVİBU Spor 2,ÖZLEM YALMAN,AHMET TATLICI,ERHAN GÜRSEL,MELİH ERGENE,NEŞE KIRAN,ERMAN YÜCEL,BİROL ŞİMŞEK,OSMAN AŞIK,Gazanfer Bilge Spor Salonu
16.10.2021,13:00,1EA3593,04,BEŞİKTAŞ ICRYPEX,68 - 70,GAZİANTEP BASKETBOL,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,TİVİBU Spor 2,ZAFER YILMAZ,ALİ ŞAKACI,SEHER AYŞE NUR YAZICIOĞLU,YAŞAR SİNAN ÇELİKOĞLU,BİROL ŞİMŞEK,ALPER LAÇİNKAYA,HİLMİ CANKUT AYNAR,ALPKAN HACIYAKUPOĞLU,Akatlar Spor ve Kültür Kompleksi
